band_width,n_estimators,max_depth,min_samples_split,accuracy_train,accuracy_test
100,100,40.0,10,0.9874476987447699,0.95
100,100,30.0,10,0.9874476987447699,0.95
100,100,20.0,10,0.9874476987447699,0.95
100,100,10.0,10,0.9874476987447699,0.95
100,100,,10,0.9874476987447699,0.95
100,80,10.0,10,0.9832635983263598,0.95
100,80,20.0,10,0.9874476987447699,0.9416666666666667
100,30,10.0,2,0.997907949790795,0.9416666666666667
100,60,30.0,10,0.9832635983263598,0.9416666666666667
100,60,20.0,10,0.9832635983263598,0.9416666666666667
100,60,10.0,10,0.9832635983263598,0.9416666666666667
100,60,,10,0.9832635983263598,0.9416666666666667
100,40,10.0,2,1.0,0.9416666666666667
100,80,,10,0.9874476987447699,0.9416666666666667
100,60,40.0,10,0.9832635983263598,0.9416666666666667
100,10,10.0,5,0.9874476987447699,0.9416666666666667
100,80,40.0,10,0.9874476987447699,0.9416666666666667
100,90,,10,0.9874476987447699,0.9416666666666667
100,90,10.0,10,0.9853556485355649,0.9416666666666667
100,90,40.0,10,0.9874476987447699,0.9416666666666667
100,90,20.0,10,0.9874476987447699,0.9416666666666667
100,80,30.0,10,0.9874476987447699,0.9416666666666667
100,90,30.0,10,0.9874476987447699,0.9416666666666667
100,50,30.0,2,1.0,0.9333333333333333
100,60,30.0,2,1.0,0.9333333333333333
100,60,40.0,5,0.997907949790795,0.9333333333333333
100,60,40.0,2,1.0,0.9333333333333333
100,60,30.0,5,0.997907949790795,0.9333333333333333
100,60,20.0,2,1.0,0.9333333333333333
100,60,20.0,5,0.997907949790795,0.9333333333333333
100,60,10.0,5,0.997907949790795,0.9333333333333333
100,60,,5,0.997907949790795,0.9333333333333333
100,50,20.0,2,1.0,0.9333333333333333
100,70,,2,1.0,0.9333333333333333
100,50,40.0,2,1.0,0.9333333333333333
100,70,20.0,10,0.9832635983263598,0.9333333333333333
100,70,,5,0.997907949790795,0.9333333333333333
100,70,,10,0.9832635983263598,0.9333333333333333
100,80,40.0,2,1.0,0.9333333333333333
100,80,30.0,2,1.0,0.9333333333333333
100,80,20.0,2,1.0,0.9333333333333333
100,80,,2,1.0,0.9333333333333333
100,70,40.0,10,0.9832635983263598,0.9333333333333333
100,70,40.0,5,0.997907949790795,0.9333333333333333
100,70,40.0,2,1.0,0.9333333333333333
100,70,30.0,10,0.9832635983263598,0.9333333333333333
100,70,30.0,5,0.997907949790795,0.9333333333333333
100,70,30.0,2,1.0,0.9333333333333333
100,40,40.0,2,1.0,0.9333333333333333
100,70,20.0,5,0.997907949790795,0.9333333333333333
100,70,20.0,2,1.0,0.9333333333333333
100,70,10.0,10,0.9832635983263598,0.9333333333333333
100,70,10.0,5,0.997907949790795,0.9333333333333333
100,50,,2,1.0,0.9333333333333333
100,60,,2,1.0,0.9333333333333333
100,20,20.0,10,0.9853556485355649,0.9333333333333333
100,20,30.0,10,0.9853556485355649,0.9333333333333333
100,20,10.0,2,0.99581589958159,0.9333333333333333
100,40,20.0,2,1.0,0.9333333333333333
100,40,,2,1.0,0.9333333333333333
100,20,10.0,10,0.9853556485355649,0.9333333333333333
100,20,,10,0.9853556485355649,0.9333333333333333
100,40,10.0,5,0.997907949790795,0.9333333333333333
100,20,40.0,10,0.9853556485355649,0.9333333333333333
100,40,30.0,2,1.0,0.9333333333333333
100,20,30.0,5,0.997907949790795,0.925
100,20,40.0,5,0.997907949790795,0.925
100,20,20.0,5,0.997907949790795,0.925
100,20,10.0,5,0.997907949790795,0.925
100,30,,2,1.0,0.925
100,30,,5,0.99581589958159,0.925
100,80,10.0,2,1.0,0.925
100,80,10.0,5,0.997907949790795,0.925
100,40,30.0,10,0.9895397489539749,0.925
100,90,,2,1.0,0.925
100,20,,5,0.997907949790795,0.925
100,90,40.0,2,1.0,0.925
100,100,40.0,2,1.0,0.925
100,100,30.0,2,1.0,0.925
100,100,20.0,2,1.0,0.925
100,100,10.0,2,1.0,0.925
100,100,,2,1.0,0.925
100,90,40.0,5,0.997907949790795,0.925
100,90,30.0,5,0.997907949790795,0.925
100,30,,10,0.9853556485355649,0.925
100,90,30.0,2,1.0,0.925
100,90,20.0,5,0.997907949790795,0.925
100,90,20.0,2,1.0,0.925
100,90,10.0,5,0.997907949790795,0.925
100,90,10.0,2,1.0,0.925
100,90,,5,0.997907949790795,0.925
100,70,10.0,2,1.0,0.925
100,40,30.0,5,0.997907949790795,0.925
100,30,10.0,5,0.99581589958159,0.925
100,60,10.0,2,1.0,0.925
100,40,40.0,5,0.997907949790795,0.925
100,40,40.0,10,0.9895397489539749,0.925
100,40,20.0,10,0.9895397489539749,0.925
100,50,,10,0.9874476987447699,0.925
100,50,10.0,2,1.0,0.925
100,50,10.0,5,0.997907949790795,0.925
100,50,10.0,10,0.9874476987447699,0.925
100,40,20.0,5,0.997907949790795,0.925
100,50,20.0,10,0.9874476987447699,0.925
100,50,30.0,10,0.9874476987447699,0.925
100,30,10.0,10,0.9853556485355649,0.925
100,50,40.0,10,0.9874476987447699,0.925
100,40,,10,0.9895397489539749,0.925
100,40,10.0,10,0.9895397489539749,0.925
100,40,,5,0.997907949790795,0.925
100,30,40.0,5,0.99581589958159,0.925
100,30,20.0,2,1.0,0.925
100,30,20.0,5,0.99581589958159,0.925
100,30,20.0,10,0.9853556485355649,0.925
100,30,30.0,2,1.0,0.925
100,30,30.0,5,0.99581589958159,0.925
100,30,40.0,10,0.9853556485355649,0.925
100,30,40.0,2,1.0,0.925
100,30,30.0,10,0.9853556485355649,0.925
100,10,20.0,5,0.997907949790795,0.9166666666666666
100,20,,2,0.997907949790795,0.9166666666666666
100,80,20.0,5,0.997907949790795,0.9166666666666666
100,100,20.0,5,0.99581589958159,0.9166666666666666
100,80,,5,0.997907949790795,0.9166666666666666
100,100,10.0,5,0.997907949790795,0.9166666666666666
100,50,,5,0.997907949790795,0.9166666666666666
100,10,,5,0.997907949790795,0.9166666666666666
100,100,,5,0.99581589958159,0.9166666666666666
100,20,40.0,2,0.997907949790795,0.9166666666666666
100,50,40.0,5,0.997907949790795,0.9166666666666666
100,80,30.0,5,0.997907949790795,0.9166666666666666
100,20,30.0,2,0.997907949790795,0.9166666666666666
100,100,40.0,5,0.99581589958159,0.9166666666666666
100,50,20.0,5,0.997907949790795,0.9166666666666666
100,10,40.0,5,0.997907949790795,0.9166666666666666
100,10,30.0,5,0.997907949790795,0.9166666666666666
100,50,30.0,5,0.997907949790795,0.9166666666666666
100,20,20.0,2,0.997907949790795,0.9166666666666666
100,80,40.0,5,0.997907949790795,0.9166666666666666
100,100,30.0,5,0.99581589958159,0.9166666666666666
100,10,20.0,10,0.9832635983263598,0.9083333333333333
100,10,,10,0.9832635983263598,0.9083333333333333
100,10,40.0,10,0.9832635983263598,0.9083333333333333
100,10,10.0,10,0.9832635983263598,0.9083333333333333
100,10,30.0,10,0.9832635983263598,0.9083333333333333
100,10,10.0,2,0.9937238493723849,0.9083333333333333
100,10,40.0,2,0.99581589958159,0.8833333333333333
100,10,20.0,2,0.99581589958159,0.8833333333333333
100,10,30.0,2,0.99581589958159,0.8833333333333333
100,10,,2,0.99581589958159,0.8833333333333333
